review_name,review_date,review_txt,review_rating
Kavindu,"Reviewed in the United States on December 12, 2025","Solid product machan, recommend 👍",4
Nimal,"Reviewed in the United States on December 28, 2025","Very useful product, will buy again 😀",4
Priya,"Reviewed in the United States on January 04, 2026","Eh works fine da, no issue 😄",2
Aunty Mei,"Reviewed in the United States on December 20, 2025","Eh works fine da, no issue 😄",3
Alex,"Reviewed in the United States on December 06, 2025",Aiyo quality not that good 😞,1
Alex,"Reviewed in the United States on December 25, 2025","Eh works fine da, no issue 😄",1
Saman,"Reviewed in the United States on December 08, 2025",Not working as expected 😡,2
Saman,"Reviewed in the United States on December 22, 2025",Stopped working after few days 😠,1
Nimal,"Reviewed in the United States on January 12, 2026",This one damn good lah 😍 worth the money,2
Kavindu,"Reviewed in the United States on January 08, 2026","Solid product machan, recommend 👍",2
HappyBuyer,"Reviewed in the United States on January 23, 2026","Can use lah, not bad not great 😐",3
Aeron,"Reviewed in the United States on December 11, 2025","Not happy machan, expected better 😕",1
The only Mrs.,"Reviewed in the United States on December 23, 2025","Very useful product, will buy again 😀",4
Chris,"Reviewed in the United States on December 16, 2025","Price ok lah, quality also ok 🙂",1
Kavindu,"Reviewed in the United States on January 21, 2026",Aiyo quality not that good 😞,2
The only Mrs.,"Reviewed in the United States on January 21, 2026",This one damn good lah 😍 worth the money,1
Priya,"Reviewed in the United States on December 14, 2025","Average quality, nothing special 🤔",3
Priya,"Reviewed in the United States on December 10, 2025",Exceeded my expectations 😍🔥,5
Nimal,"Reviewed in the United States on January 30, 2026",Not working as expected 😡,1
Uncle Tan,"Reviewed in the United States on December 20, 2025","Totally disappointed, won’t recommend 😒",2
The only Mrs.,"Reviewed in the United States on January 09, 2026","Very useful product, will buy again 😀",5
Ash,"Reviewed in the United States on December 11, 2025","Solid product machan, recommend 👍",2
Uncle Tan,"Reviewed in the United States on January 25, 2026",This one damn good lah 😍 worth the money,5
Uncle Tan,"Reviewed in the United States on January 03, 2026","Eh works fine da, no issue 😄",1
TechGuy,"Reviewed in the United States on January 17, 2026",Super happy with this purchase 😄 worth every cent,4
Saman,"Reviewed in the United States on December 30, 2025",Decent product for the price 😐,3
Kavindu,"Reviewed in the United States on December 13, 2025",This one damn good lah 😍 worth the money,5
Saman,"Reviewed in the United States on December 05, 2025","Solid product machan, recommend 👍",3
