review-item-author,review-item-date,review-item-content
timcou_5993,"Feb 23, 2025","Camera is perfect if looking for better options than cell phone camera.  Zoom is impressive with excellent quality pictures and with Bluetooth connectivity, easy to share pictures on the spot."
tika7019,"Sep 16, 2017",I have been using an old Canon PowerShot for 10 years and have always been pleased with it.  I wanted a new higher resolution model (old one was 5 megapixel) but hesitated because the newer models have so much stuff in them I am not interested in.  Well it does have an awful lot of features but most of the old point and shoot functions are the same and I found it easy to use.  The auto-everything mode is great and the shots are really awesome. I highly recommend this model!
ralphwh123,"May 07, 2018","The Canon PowerShot SX720 HS is quite pocketable, has great image quality and a very capable 40x zoom lens, and is easy to use."
cfisher935connie,"Apr 07, 2017","Perfect size, easy to use, takes quality pictures.  Excellent for a reasonable camera.  I wanted a camera that would zoom the subject into view easily and quickly."
6-tee,"May 16, 2017","I was a bit disappointed to see that it uses a different battery than the SX710 so they are not interchangeable (I didn't check this beforehand).  I had 2 extra batteries for my 710 and neither will work for this camera.  I also found out you need to get 'decoded' (third party) batteries or they probably won't work. Since the 720 has a 40x zoom it is almost a necessity to use a tripod if you are going to go above a 25-30x zoom, or use a high ISO with at least a 1/1000+ shutter speed so the image is not blurred.  It all depends on how steady your hand is (without a tripod); but that's the case with using any camera when using a 'long' lens.Overall I like the camera.  It's a good compact, pocket-able camera for photographing wildlife or other distant objects."
pmaomseelra,"Jul 22, 2020","It is a good buy.  I dropped my old one, 6 years old, and it cracked, it was so easy to use.    They have updated the camera and I like it but I cannot find how to delete pictures from the card.  There is nothing in the instruction book and I can't find any where on the camera where you would delete/erase."
dcl.nni.com,"Sep 15, 2016","I bought this camera (a PowerShot SX720HS) as a replacement for my PowerShot 120, which I lost.  It's an adequate pocket camera, but is decidedly NOT as good as the 120; it's just enough larger as not to be convenient, it does not have touch control on the screen, the controls are not as conveniently placed. The bulge on the front (to make it easier to carry, I suppose) is not helpful. Canon is not to be commended for what apparently was meant to be an upgrade of the PowerShot series."
cartp_16,"Oct 01, 2022","I've had several,sx 20, 30 and 40.  The zoom gives clear pictures that can be enlarged quite a bit. I sometimes use it instead of binoculars, it's handier.   It's my pocket camera over my iphone."
gstx2016,"Aug 09, 2018","So far I'm happy with this camera. I decided on a light weight camera, but wanted a better zoom and so far it's been great."
locomotivedoctor,"Jul 05, 2019",Incredible zoom. A bit slow to focus in low light situations but no worse than my DSLR cameras.  Picture quality is very good.  No RAW format though.
nice1958,"Apr 01, 2020","The reason for 4 star is that at zoomed range, the auto focus is unstable when set on servo. But other than that, this tiny cam has a huge capability packed inside. Im a happy buyer."
mraam_bxw2jjfce,"Nov 28, 2018",Good size. Handy. Just wish the on button were a little more to the right for one handed use.
awal8584,"Nov 04, 2016","Having the zoom, the compact size and WiFi to transfer photos were the main reasons for my buying the camera.I have found it simple to set up and to access features. There are a number of smart shutter features.  One I find interesting is having the camera wait ""until the person smiles"" when in portrait mode. This is my compact travel camerathat has nearly a 1000 mm zoom lens."
